2theta	Theorical peaks	2theta	I	2theta	I
deg	Intensity	deg	(a.u.)	deg	(a.u.)
2H-WSe2	2H-WSe2	x=15,d=21%	x=15,d=21%	x=0,d=4%	x=0,d=4%
		12.26	0.00272479564032698	13.98505	0.1248776668624
		12.28	0.00575234635180139	14.01135	0.0907467214719123
		12.3	0.00181653042688465	14.03765	0.0685799569387355
		12.32	0.00423857099606418	14.06395	0.0471961244862008
		12.34	0.00544959128065395	14.09025	0.0389264043844196
		12.36	0.00544959128065395	14.11655	0.0294822861616754
		12.38	0.00544959128065395	14.14285	0.0245400274026228
		12.4	0.0036330608537693	14.16915	0.0223869641808573
		12.42	0.00393581592491674	14.19545	0.0211636328048542
		12.44	0.00847714199212837	14.22175	0.021114699549814
		12.46	0.00999091734786558	14.24805	0.0200626345664514
		12.48	0.00938540720557069	14.27435	0.0196711685261303
		12.5	0.0124129579170451	14.30065	0.0182765707574867
		12.52	0.0142294883439298	14.32695	0.0174936386768448
		12.54	0.0112019376324553	14.35325	0.019157369348209
		12.56	0.0118074477747502	14.37955	0.0179095713446858
		12.58	0.00817438692098093	14.40585	0.0178361714621257
		12.6	0.00938540720557069	14.43215	0.0172979056566843
		12.62	0.00666061156524372	14.45845	0.0170043061264436
		12.64	0.00968816227671813	14.48475	0.016025641025641
		12.66	0.00756887677868604	14.51105	0.0170532393814837
		12.68	0.00877989706327581	14.53735	0.014435310236837
		12.7	0.00999091734786558	14.56365	0.016833039733803
		12.72	0.00666061156524372	14.58995	0.0159033078880407
		12.74	0.0118074477747502	14.61625	0.014043844196516
		12.76	0.00877989706327581	14.64255	0.0149491094147582
		12.78	0.00908265213442325	14.66885	0.0159033078880407
		12.8	0.010293672419013	14.69515	0.0151203758073987
		12.82	0.0124129579170451	14.72145	0.0147289097670777
		12.84	0.0136239782016349	14.74775	0.0150225092973184
		12.86	0.0169542839842567	14.77405	0.013676844783715
		12.88	0.0172570390554042	14.80035	0.0138481111763555
		12.9	0.0221011201937632	14.82665	0.0135545116461147
		12.92	0.0266424462609749	14.85295	0.0149001761597181
		12.94	0.0317892824704814	14.87925	0.013701311411235
		12.96	0.0408719346049046	14.90555	0.0129673125856332
		12.98	0.0499545867393279	14.93185	0.0123067136425915
		13	0.0575234635180139	14.95815	0.0135300450185946
		13.02	0.0711474417196488	14.98445	0.0132364454883539
		13.04	0.0778080532848925	15.01075	0.0140927774515561
		13.06	0.102633969118983	15.03705	0.0120375807398708
		13.08	0.134726006660612	15.06335	0.0130651790957134
		13.1	0.200726612170754	15.08965	0.0115727148169896
		13.12	0.333938843475628	15.11595	0.0129673125856332
		13.14	0.46745382985165	15.14225	0.0118663143472303
		13.16	0.707841356342719	15.16855	0.0126492464278724
		13.18	0.904026642446261	15.19485	0.012135447249951
		13.2	1	15.22115	0.0129917792131533
		13.22	0.974265818952467	15.24745	0.0124290467801919
		13.24	0.806842264607932	15.27375	0.0119152476022705
		13.26	0.639115955192249	15.30005	0.0111567821491486
		13.28	0.414471692400848	15.32635	0.0120620473673908
		13.3	0.238570996064184	15.35265	0.01171951458211
		13.32	0.151377535573721	15.37895	0.0103249168134664
		13.34	0.0841659097789888	15.40525	0.0108631826189078
		13.36	0.0481380563124432	15.43155	0.0110589156390683
		13.38	0.0254314259763851	15.45785	0.0105206498336269
		13.4	0.0254314259763851	15.48415	0.0107653161088276
		13.42	0.0148349984862246	15.51045	0.0115482481894696
		13.44	0.0163487738419619	15.53675	0.0104717165785868
		13.46	0.0142294883439298	15.56305	0.0116461146995498
		13.48	0.0105964274901605	15.58935	0.010912115873948
		13.5	0.0121102028458977	15.61565	0.0120865139949109
		13.52	0.00908265213442325	15.64195	0.0125513799177922
		13.54	0.00847714199212837	15.66825	0.0102515169309062
		13.56	0.00847714199212837	15.69455	0.0114993149344294
		13.58	0.00756887677868604	15.72085	0.0098845175181053
		13.6	0.00635785649409628	15.74715	0.0102515169309062
		13.62	0.00423857099606418	15.77345	0.0098845175181053
		13.64	0.0072661217075386	15.79975	0.0101291837933059
		13.66	0.0072661217075386	15.82605	0.00951751810530438
		13.68	0.0072661217075386	15.85235	0.00880798590722251
		13.7	0.00423857099606418	15.87865	0.0100557839107457
		13.72	0.0036330608537693	15.90495	0.0103249168134664
		13.74	0.00484408113835907	15.93125	0.0107897827363477
		13.76	0.00393581592491674	15.95755	0.00956645136034451
		13.78	0.00696336663639116	15.98385	0.00966431787042475
		13.8	0.00454132606721163	16.01015	0.00907711880994328
		13.82	0.00605510142294883	16.03645	0.00915051869250347
		13.84	0.0072661217075386	16.06275	0.00998238402818554
		13.86	0.0036330608537693	16.08905	0.0107653161088276
		13.88	0.00696336663639116	16.11535	0.00927285183010377
		13.9	0.00302755071147442	16.14165	0.00976218438050499
		13.92	0.00514683620950651	16.16795	0.00878351927970245
		13.94	0.00423857099606418	16.19425	0.0094441182227442
		13.96	0.00544959128065395	16.22055	0.00978665100802506
		13.98	0.00423857099606418	16.24685	0.0081229203366608
		14	0.00454132606721163	16.27315	0.00956645136034451
		14.02	0.00635785649409628	16.29945	0.00915051869250347
		14.04	0.00423857099606418	16.32575	0.00841651986690153
		14.06	0.00423857099606418	16.35205	0.00871011939714227
		14.08	0.00151377535573721	16.37835	0.00966431787042475
		14.1	0.00333030578262186	16.40465	0.0102515169309062
		14.12	0.00302755071147442	16.43095	0.00880798590722251
		14.14	0.0036330608537693	16.45725	0.00961538461538463
		14.16	0.00333030578262186	16.48355	0.0084409864944216
		14.18	0.00635785649409628	16.50985	0.0082452534742611
		14.2	0.00423857099606418	16.53615	0.00875905265218239
		14.22	0.0036330608537693	16.56245	0.0076825210412997
		14.24	0.00393581592491674	16.58875	0.00804952045410062
		14.26	0.0036330608537693	16.61505	0.0080005871990605
		14.28	0.00302755071147442	16.64135	0.00973771775298493
		14.3	0.00544959128065395	16.66765	0.0084409864944216
		14.32	0.00423857099606418	16.69395	0.00836758661186141
		14.34	0.00211928549803209	16.72025	0.00809845370914074
		14.36	0.00514683620950651	16.74655	0.00790272068898025
		14.38	0.00242204056917953	16.77285	0.00971325112546487
		14.4	0.00242204056917953	16.79915	0.00785378743394013
		14.42	0.00484408113835907	16.82545	0.00817185359170092
		14.44	0.00242204056917953	16.85175	0.00748678802113921
		14.46	0.00454132606721163	16.87805	0.00851438637698178
		14.48	0.0036330608537693	16.90435	0.00875905265218239
		14.5	0.00272479564032698	16.93065	0.00741338813857903
		14.52	0.00211928549803209	16.95695	0.00834311998434135
		14.54	0.00181653042688465	16.98325	0.00826972010178116
		14.56	0.00333030578262186	17.00955	0.00778038755137994
		14.58	0.00333030578262186	17.03585	0.00836758661186141
		14.6	0.00423857099606418	17.06215	0.00807398708162068
		14.62	0.00393581592491674	17.08845	0.00707085535329807
		14.64	0.00393581592491674	17.11475	0.00741338813857903
		14.66	0.00242204056917953	17.14105	0.00731552162849868
		14.68	0.0036330608537693	17.16735	0.0076825210412997
		14.7	0.00423857099606418	17.19365	0.00814738696418086
		14.72	0.00211928549803209	17.21995	0.00743785476609909
		14.74	0.00302755071147442	17.24625	0.00863671951458208
