H	M	M_over_mass	M_over_mass_smoothed
Oe	emu	emu/g	emu/g
 x=0%, d =12% - short after synthesis	 x=0%, d =12% - short after synthesis	 x=0%, d =12% - short after synthesis	 x=0%, d =12% - short after synthesis
-1126.2115	-6.8558377E-6	-5.00842973104367E-4	-5.00696638728217E-4
-1076.2136	-6.9009007E-6	-5.04795867841209E-4	-4.98339732929337E-4
-1026.2033	-6.5036189E-6	-4.69946587139455E-4	-4.97508284763468E-4
-976.2058	-6.7997965E-6	-4.95927078367525E-4	-4.86390092476223E-4
-926.1134	-6.4105743E-6	-4.61784780121911E-4	-4.7576675687323E-4
-875.70401	-7.1315748E-6	-5.25030438016648E-4	-4.63702210232736E-4
-825.70494	-6.0700663E-6	-4.31915657314893E-4	-4.50274438977675E-4
-775.70794	-5.7206105E-6	-4.01261639771034E-4	-4.32837252885989E-4
-725.69677	-5.9655626E-6	-4.22748666086823E-4	-4.16251017393411E-4
-675.69177	-5.7580895E-6	-4.04549271349981E-4	-4.01926975578501E-4
-625.69209	-5.6456398E-6	-3.94685262578051E-4	-3.93547526615184E-4
-575.69417	-5.3718583E-6	-3.7066934152542E-4	-3.93195172670882E-4
-525.68656	-5.7454565E-6	-4.03441113455244E-4	-3.80160675737991E-4
-475.6893	-5.3012027E-6	-3.64471481876297E-4	-3.58528846882635E-4
-425.53742	-5.4664679E-6	-3.78968429244718E-4	-3.4729710644179E-4
-375.18032	-4.4742919E-6	-2.91935446788578E-4	-3.34117267015135E-4
-325.19146	-4.432991E-6	-2.88312560823665E-4	-3.15553554341843E-4
-275.18548	-4.48729E-6	-2.93075630999104E-4	-2.89486588407193E-4
-225.1821	-4.6874462E-6	-3.10633192402613E-4	-2.70410485577274E-4
-175.17393	-3.8682274E-6	-2.38771894156998E-4	-2.30398846351003E-4
-125.17942	-3.2881207E-6	-1.8788534152542E-4	-1.94471273803668E-4
-75.177898	-2.8978175E-6	-1.53648218718402E-4	-1.52966632643074E-4
-25.036869	-2.3828104E-6	-1.08472157314893E-4	-1.07033821589215E-4
25.338377	-1.160407E-6	-1.24378889384064E-6	-6.16020724909453E-5
75.340299	-1.641296E-6	-4.34270345078757E-5	-1.44489433759083E-5
125.34531	-1.3366117E-6	-1.67003415254196E-5	2.82687046222924E-5
175.34979	-3.5281936E-7	6.9597232158791E-5	6.71929442452425E-5
225.35266	2.5743696E-7	1.23128488299142E-4	1.06356662909619E-4
275.35799	9.8821211E-7	1.87231571632475E-4	1.40322195993494E-4
325.36013	5.6090635E-7	1.49748610228966E-4	1.9236836423461E-4
375.35615	1.1302655E-6	1.99692395316686E-4	2.104953490422E-4
425.3585	1.7409451E-6	2.53260781281598E-4	2.21084796063015E-4
475.35955	1.74627E-6	2.53727877772826E-4	2.53151823429801E-4
525.35623	2.1199329E-6	2.86505325141247E-4	2.78247537914731E-4
575.3581	1.2262369E-6	2.08110939176335E-4	2.96371323055613E-4
625.35811	2.9304068E-6	3.57599526895633E-4	3.13836347878744E-4
675.3589	3.6353688E-6	4.19438298825458E-4	3.43947000334475E-4
725.36427	2.2766707E-6	3.00254254965809E-4	3.47529225726042E-4
775.36313	2.5353521E-6	3.22945605843001E-4	3.53123630257184E-4
825.35428	3.7935516E-6	4.33313983035984E-4	3.8056154030912E-4
875.37045	3.5261862E-6	4.09860877772826E-4	3.91911642321143E-4
925.35924	2.0857751E-6	2.83509026895633E-4	4.18904699451148E-4
975.36243	4.4754151E-6	4.93126570755282E-4	4.71729549714919E-4
1025.3648	5.2818582E-6	5.638671935623E-4	4.82235194114379E-4
1075.3633	4.5833855E-6	5.0259765847458E-4	4.85924107192529E-4
1125.3633	4.6537505E-6	5.08770026895633E-4	5.21272653608102E-4
1175.7506	4.7703651E-6	5.18999377772826E-4	5.04630165651614E-4
1225.8702	3.2477051E-6	3.85432711106159E-4	4.62818492973415E-4
1275.8643	4.6253077E-6	5.06275044439493E-4	4.38868541965359E-4
1325.8599	4.6447578E-6	5.079811935623E-4	4.24773957190484E-4
1375.8724	1.8027305E-6	2.58680553211422E-4	4.3597306701341E-4
1425.8673	4.6016263E-6	5.04197728650019E-4	4.60259782487994E-4
1475.8668	4.3604575E-6	4.83042570755282E-4	5.09201847776507E-4
1525.8695	4.7541215E-6	5.17574500579844E-4	5.30369779952518E-4
1575.8659	6.4083305E-6	6.62680553211422E-4	5.62024869062238E-4
1625.8652	5.6075705E-6	5.92438447948265E-4	5.95030884520464E-4
1675.8647	5.8334683E-6	6.12254044439493E-4	5.82464565786567E-4
1725.8633	4.7297211E-6	5.15434114614931E-4	5.89752291607529E-4
1775.8591	5.107968E-6	5.4861366724651E-4	5.87985560032672E-4
1825.866	5.3544894E-6	5.70238351457036E-4	5.8087479289981E-4
1875.8733	5.6878101E-6	5.99477009351773E-4	5.68419990208943E-4
1925.859	5.4116954E-6	5.75256421632475E-4	5.50621151960043E-4
1975.8593	4.7400889E-6	5.16343570755282E-4	5.27478278153151E-4
