H	M	M over mass
Oe	emu	emu/g
x=1.0%, d =1%	x=1.0%, d =1%	x=1.0%, d =1%
337.09154	4.8910131E-5	0.00432833017699115
333.34341	4.7518845E-5	0.00420520752212389
329.59404	4.7162139E-5	0.00417364061946903
325.84766	4.920072E-5	0.00435404601769912
322.10352	4.858562E-5	0.00429961238938053
318.3591	5.0263054E-5	0.00444805787610619
314.60783	4.7584387E-5	0.00421100769911504
310.86166	4.8861107E-5	0.00432399176991151
307.11795	4.9352306E-5	0.0043674607079646
303.36607	4.6967111E-5	0.00415638150442478
300.13569	4.8302629E-5	0.0042745689380531
297.65198	4.9253493E-5	0.00435871619469027
295.1627	4.5789556E-5	0.00405217309734513
292.6747	4.2810181E-5	0.00378851159292035
290.18192	4.8040631E-5	0.00425138327433628
287.68935	4.0291805E-5	0.00356564646017699
285.19343	4.597582E-5	0.00406865663716814
282.70987	4.7909663E-5	0.00423979318584071
280.2228	4.463596E-5	0.00395008495575221
277.72358	4.7698728E-5	0.00422112637168142
275.24622	4.3823816E-5	0.00387821380530974
272.73697	4.7241071E-5	0.00418062575221239
270.26348	4.841607E-5	0.00428460796460177
267.76327	4.6157759E-5	0.00408475743362832
265.26965	4.8439404E-5	0.00428667292035398
262.7973	4.3655892E-5	0.00386335327433628
260.30538	4.4119028E-5	0.00390433876106195
257.79174	4.7487062E-5	0.00420239486725664
255.29339	4.4648409E-5	0.00395118663716814
252.7941	4.5233652E-5	0.00400297805309735
250.29758	4.3288951E-5	0.00383088061946903
247.80401	4.5640734E-5	0.00403900300884956
245.31147	4.790628E-5	0.00423949380530974
242.80822	4.6831121E-5	0.00414434699115044
240.32228	4.53109E-5	0.00400981415929204
237.81522	4.7550631E-5	0.00420802044247788
235.3146	4.9435756E-5	0.00437484566371681
232.82577	4.5191232E-5	0.00399922407079646
230.32804	4.8555631E-5	0.00429695849557522
227.83441	4.7258819E-5	0.00418219637168142
225.30386	4.3855142E-5	0.00388098601769912
222.82121	4.6126671E-5	0.00408200628318584
220.3158	4.2582359E-5	0.0037683503539823
217.82634	4.4013576E-5	0.00389500672566372
215.32675	4.5171967E-5	0.00399751920353982
212.82942	4.7490159E-5	0.0042026689380531
210.3256	4.1169333E-5	0.00364330380530974
207.84516	4.5028568E-5	0.00398482902654867
205.33233	4.3104297E-5	0.00381453955752212
202.84448	4.3133515E-5	0.00381712522123894
200.34703	4.224366E-5	0.00373837699115044
197.85052	4.1248899E-5	0.00365034504424779
195.34886	4.2131996E-5	0.00372849522123894
192.85838	4.255156E-5	0.00376562477876106
190.34761	3.9886179E-5	0.0035297503539823
187.83932	4.171617E-5	0.00369169646017699
185.34415	4.0826217E-5	0.00361293955752212
182.84698	4.2248914E-5	0.00373884194690265
180.35557	3.8966712E-5	0.00344838159292035
177.85469	4.0621102E-5	0.00359478778761062
175.35767	4.2306218E-5	0.00374391309734513
172.85841	4.0579118E-5	0.00359107238938053
170.36819	3.9693736E-5	0.00351272
167.87164	4.3390831E-5	0.00383989654867257
165.37231	4.0852794E-5	0.00361529150442478
162.87967	3.6755863E-5	0.00325273123893805
160.37797	3.8212843E-5	0.00338166752212389
157.88255	4.1578562E-5	0.00367951876106195
155.38631	3.6765274E-5	0.00325356407079646
152.88981	3.5740916E-5	0.00316291292035398
