2theta	Theorical_peaks	2theta	Intensity	2theta	Intensity	2theta	Intensity	2theta	Intensity	2theta	Intensity
deg	a.u.	deg	a.u.	deg	a.u.	deg	a.u.	deg	a.u.	deg	a.u.
2H-WSe2	2H-WSe2	x=0%, d =4%	x=0%, d =4%	x=1.0%, d =1%	x=1.0%, d =1%	x=1.4%, d =9% 	x=1.4%, d =9% 	x=7.6%, d =38%	x=7.6%, d =38%	x=15%, d =21%	x=15%, d =21%
		13.22235	0.0567332158935212	13.22235	1.15896627032274	13.22235	2.04742839544195	13.22235	3.46113989637306	11.68	4.13025068119891
		13.24865	0.0730157565081229	13.24865	1.17097791798107	13.24865	2.06427911478728	13.24865	3.56842426089607	11.7	4.13119527702089
		13.27495	0.0965648854961832	13.27495	1.19103777400307	13.27495	2.09045712525848	13.27495	3.65338311490399	11.72	4.13261217075386
		13.30125	0.128376394597769	13.30125	1.21538461538462	13.30125	2.12231070438647	13.30125	3.71685461749467	11.74	4.13025068119891
		13.32755	0.165839694656488	13.32755	1.25708161449486	13.32755	2.1695631132034	13.32755	3.79487960987504	11.76	4.13166757493188
		13.35385	0.209600704638872	13.35385	1.30799967645394	13.35385	2.23511813102204	13.35385	3.87694300518135	11.78	4.13355676657584
		13.38015	0.27096300645919	13.38015	1.37092938607134	13.38015	2.31118834968542	13.38015	3.95428223102713	11.8	4.13119527702089
		13.40645	0.354017420238794	13.40645	1.4477715764782	13.40645	2.39645386950592	13.40645	3.99298994209083	11.82	4.13025068119891
		13.43275	0.440570561753768	13.43275	1.53889023699749	13.43275	2.50068194817194	13.43275	4	11.84	4.13308446866485
		13.45905	0.540391955372871	13.45905	1.63170751435736	13.45905	2.59958643143121	13.45905	3.96929289850655	11.86	4.12930608537693
		13.48535	0.674689273830495	13.48535	1.72468656474966	13.48535	2.68925161687712	13.48535	3.92616580310881	11.88	4.13450136239782
		13.51165	0.77582941867293	13.51165	1.81066893148912	13.51165	2.76650974525936	13.51165	3.83191100274307	11.9	4.13308446866485
		13.53795	0.886443041691133	13.53795	1.89628730890561	13.53795	2.84627568304809	13.53795	3.77400182871076	11.92	4.13308446866485
		13.56425	0.958570659620278	13.56425	1.97272506673138	13.56425	2.91297461392934	13.56425	3.69871990246876	11.94	4.12977838328792
		13.59055	1.02458896065766	13.59055	2.04091239990294	13.59055	2.95670729024594	13.59055	3.64355379457482	11.96	4.13166757493188
		13.61685	1.07106821295753	13.61685	2.07132573000081	13.61685	3	13.61685	3.54975617189881	11.98	4.13213987284287
		13.64315	1.1	13.64315	2.1	13.64315	2.9776496986229	13.64315	3.47950320024383	12	4.13591825613079
		13.66945	1.08102613035819	13.66945	2.09393351128367	13.66945	2.93673280830657	13.66945	3.40124961901859	12.02	4.13119527702089
		13.69575	1.05082941867293	13.69575	2.06926312383726	13.69575	2.8970918210216	13.69575	3.32703444071929	12.04	4.12883378746594
		13.72205	0.981070170287727	13.72205	1.99767855698455	13.72205	2.82740111751507	13.72205	3.25571472112161	12.06	4.13025068119891
		13.74835	0.882056175376787	13.74835	1.93268624120359	13.74835	2.74358748735096	13.74835	3.20717768972874	12.08	4.13450136239782
		13.77465	0.774295361127422	13.77465	1.86478201083879	13.77465	2.67543666681332	13.77465	3.16107893934776	12.1	4.13355676657584
		13.80095	0.683166960266197	13.80095	1.77467443177222	13.80095	2.58057987592943	13.80095	3.1278573605608	12.12	4.13402906448683
		13.82725	0.592307692307692	13.82725	1.69075467119631	13.82725	2.47243609485679	13.82725	3.09555013715331	12.14	4.13119527702089
		13.85355	0.499941280093952	13.85355	1.59053627760252	13.85355	2.38250692947336	13.85355	3.07451996342578	12.16	4.13166757493188
		13.87985	0.408920532393814	13.87985	1.4992558440508	13.87985	2.29416164371508	13.87985	3.05547089302042	12.18	4.13497366030881
		13.90615	0.321371599138775	13.90615	1.41525519695867	13.90615	2.2207752210832	13.90615	3.04503200243828	12.2	4.13733514986376
		13.93245	0.24649882560188	13.93245	1.3406373857478	13.93245	2.16441550442166	13.93245	3.04388905821396	12.22	4.13450136239782
		13.95875	0.186213055392445	13.95875	1.28486613281566	13.95875	2.12099080469884	13.95875	3.04305089911612	12.24	4.12930608537693
		13.98505	0.13736543354864	13.98505	1.23508048208364	13.98505	2.08341766025782	13.98505	3.03604084120695	12.26	4.13025068119891
		14.01135	0.0998213936191035	14.01135	1.20717463398851	14.01135	2.05939548594307	14.01135	3.03672660774154	12.28	4.13497366030881
		14.03765	0.0754379526326091	14.03765	1.17894523982852	14.03765	2.0458445158168	14.03765	3.03680280402316	12.3	4.12883378746594
		14.06395	0.0519157369348209	14.06395	1.16009868154979	14.06395	2.03695719125346	14.06395	3.03413593416641	12.32	4.13261217075386
		14.09025	0.0428190448228616	14.09025	1.14363827549947	14.09025	2.03114963262792	14.09025	3.03215483084426	12.34	4.13450136239782
		14.11655	0.032430514777843	14.11655	1.13368923400469	14.11655	2.02859782656518	14.11655	3.03459311185614	12.36	4.13450136239782
		14.14285	0.0269940301428851	14.14285	1.13093909245329	14.14285	2.02441814422104	14.14285	3.03398354160317	12.38	4.13450136239782
		14.16915	0.024625660598943	14.16915	1.12657122057753	14.16915	2.02855382990893	14.16915	3.03383114903993	12.4	4.13166757493188
		14.19545	0.0232799960853396	14.19545	1.12649033406131	14.19545	2.02604602050244	14.19545	3.03070710149345	12.42	4.13213987284287
		14.22175	0.0232261695047954	14.22175	1.12608590148022	14.22175	2.02384618768974	14.22175	3.03596464492533	12.44	4.13922434150772
		14.24805	0.0220688980230966	14.24805	1.12329531667071	14.24805	2.02252628800211	14.24805	3.0333739713502	12.46	4.14158583106267
		14.27435	0.0216382853787434	14.27435	1.1259645717059	14.27435	2.02459413084606	14.27435	3.03329777506858	12.48	4.14064123524069
		14.30065	0.0201042278332354	14.30065	1.12454905767209	14.30065	2.02336222447094	14.30065	3.03505028954587	12.5	4.14536421435059
		14.32695	0.0192430025445293	14.32695	1.12471083070452	14.32695	2.02213031809582	14.32695	3.03314538250533	12.52	4.14819800181653
		14.35325	0.02107310628303	14.35325	1.12200113241123	14.35325	2.02538607065863	14.35325	3.03329777506858	12.54	4.14347502270663
		14.37955	0.0197005284791544	14.37955	1.1236997492518	14.37955	2.02182234150205	14.37955	3.03146906430966	12.56	4.14441961852861
		14.40585	0.0196197886083382	14.40585	1.12353797621936	14.40585	2.02001847859563	14.40585	3.03261200853398	12.58	4.13875204359673
		14.43215	0.0190276962223527	14.43215	1.12175847286257	14.43215	2.02177834484579	14.43215	3.0312404754648	12.6	4.14064123524069
		14.45845	0.0187047367390879	14.45845	1.12329531667071	14.45845	2.02111839500198	14.45845	3.03428832672966	12.62	4.13639055404178
		14.48475	0.0176282051282051	14.48475	1.12260778128286	14.48475	2.01962250868934	14.48475	3.0344407192929	12.64	4.14111353315168
		14.51105	0.0187585633196321	14.51105	1.12357841947747	14.51105	2.0208104184082	14.51105	3.02933556842426	12.66	4.13780744777475
		14.53735	0.0158788412605207	14.53735	1.12264822454097	14.53735	2.02116239165823	14.53735	3.03185004571777	12.68	4.13969663941871
		14.56365	0.0185163437071834	14.56365	1.12256733802475	14.56365	2.02001847859563	14.56365	3.03588844864371	12.7	4.14158583106267
		14.58995	0.0174936386768448	14.58995	1.11949365040848	14.58995	2.02111839500198	14.58995	3.02895458701615	12.72	4.13639055404178
		14.61625	0.0154482286161676	14.61625	1.12135404028149	14.61625	2.02142637159576	14.61625	3.03314538250533	12.74	4.14441961852861
		14.64255	0.0164440203562341	14.64255	1.12086872118418	14.64255	2.0208104184082	14.64255	3.03154526059128	12.76	4.13969663941871
		14.66885	0.0174936386768448	14.66885	1.12151581331392	14.66885	2.02001847859563	14.66885	3.03085949405669	12.78	4.1401689373297
		14.69515	0.0166324133881385	14.69515	1.12010029928011	14.69515	2.02063443178318	14.69515	3.03116427918318	12.8	4.14205812897366
		14.72145	0.0162018007437855	14.72145	1.12252689476664	14.72145	2.01966650534559	14.72145	3.0284212130448	12.82	4.14536421435059
		14.74775	0.0165247602270503	14.74775	1.12046428860309	14.74775	2.01913854547054	14.74775	3.03207863456263	12.84	4.14725340599455
		14.77405	0.0150445292620865	14.77405	1.12042384534498	14.77405	2.02120638831449	14.77405	3.03253581225236	12.86	4.15244868301544
		14.80035	0.015232922293991	14.80035	1.12001941276389	14.80035	2.0181266223767	14.80035	3.03070710149345	12.88	4.15292098092643
		14.82665	0.0149099628107261	14.82665	1.12026207231255	14.82665	2.01878657222051	14.82665	3.02925937214264	12.9	4.16047774750227
		14.85295	0.0163901937756899	14.85295	1.11989808298957	14.85295	2.01856658893924	14.85295	3.02781164279183	12.92	4.16756221616712
		14.87925	0.0150714425523585	14.87925	1.11985763973146	14.87925	2.01966650534559	14.87925	3.02979274611399	12.94	4.17559128065395
		14.90555	0.0142640438441965	14.90555	1.11965542344091	14.90555	2.01781864578292	14.90555	3.03245961597074	12.96	4.18976021798365
		14.93185	0.0135373850068507	14.93185	1.11925099085982	14.93185	2.0181266223767	14.93185	3.03322157878696	12.98	4.20392915531335
		14.95815	0.0148830495204541	14.95815	1.11856345547197	14.95815	2.01803862906419	14.95815	3.03070710149345	13	4.2157366030881
		14.98445	0.0145600900371893	14.98445	1.12014074253822	14.98445	2.01931453209556	14.98445	3.02819262419994	13.02	4.23699000908265
		15.01075	0.0155020551967117	15.01075	1.11989808298957	15.01075	2.01746667253289	15.01075	3.0305547089302	13.04	4.24738056312443
		15.03705	0.0132413388138579	15.03705	1.11767370379358	15.03705	2.01922653878305	15.03705	3.02964035355075	13.06	4.28610899182561
		15.06335	0.0143716970052848	15.06335	1.11799724985845	15.06335	2.01777464912667	15.06335	3.0280402316367	13.08	4.33617257039055
		15.08965	0.0127299862986886	15.08965	1.12030251557065	15.08965	2.01742267587663	15.08965	3.02712587625724	13.1	4.43913351498638
		15.11595	0.0142640438441965	15.11595	1.12022162905444	15.11595	2.01790663909543	15.11595	3.02788783907345	13.12	4.64694459582198
		15.14225	0.0130529457819534	15.14225	1.11828035266521	15.14225	2.01773065247041	15.14225	3.02857360560805	13.14	4.85522797456857
		15.16855	0.0139141710706596	15.16855	1.11751193076114	15.16855	2.01777464912667	15.16855	3.02750685766535	13.16	5.23023251589464
		15.19485	0.0133489919749461	15.19485	1.11880611502063	15.19485	2.01592678956399	15.19485	3.0284212130448	13.18	5.53628156221617
		15.22115	0.0142909571344686	15.22115	1.11880611502063	15.22115	2.01825861234546	15.22115	3.02925937214264	13.2	5.686
		15.24745	0.013671951458211	15.24745	1.11981719647335	15.24745	2.01905055215804	15.24745	3.02727826882048	13.22	5.64585467756585
		15.27375	0.0131067723624975	15.27375	1.11795680660034	15.27375	2.01641075278279	15.27375	3.02560195062481	13.24	5.38467393278837
		15.30005	0.0122724603640634	15.30005	1.11888700153684	15.30005	2.01931453209556	15.30005	3.02864980188967	13.26	5.12302089009991
		15.32635	0.0132682521041299	15.32635	1.11791636334223	15.32635	2.01689471600158	15.32635	3.02712587625724	13.28	4.77257584014532
		15.35265	0.012891466040321	15.35265	1.11892744479495	15.35265	2.01737867922038	15.35265	3.03085949405669	13.3	4.49817075386013
		15.37895	0.011357408494813	15.37895	1.11860389873008	15.37895	2.01803862906419	15.37895	3.02750685766535	13.32	4.362148955495
		15.40525	0.0119495008807986	15.40525	1.11815902289088	15.40525	2.01531083637644	15.40525	3.0273544651021	13.34	4.25729881925522
		15.43155	0.0121648072029752	15.43155	1.11706705492194	15.43155	2.01689471600158	15.43155	3.02689728741237	13.36	4.20109536784741
		15.45785	0.0115727148169896	15.45785	1.11836123918143	15.45785	2.0170707026266	15.45785	3.02773544651021	13.38	4.16567302452316
		15.48415	0.0118418477197104	15.48415	1.11803769311656	15.48415	2.01689471600158	15.48415	3.02598293203292	13.4	4.16567302452316
		15.51045	0.0127030730084165	15.51045	1.11710749818005	15.51045	2.01597078622025	15.51045	3.02567814690643	13.42	4.14914259763851
		15.53675	0.0115188882364454	15.53675	1.11726927121249	15.53675	2.01808262572045	15.53675	3.02720207253886	13.44	4.15150408719346
		15.56305	0.0128107261695048	15.56305	1.11832079592332	15.56305	2.01614677284526	15.56305	3.02712587625724	13.46	4.14819800181653
		15.58935	0.0120033274613428	15.58935	1.11561109763003	15.58935	2.01825861234546	15.58935	3.02659250228589	13.48	4.14253042688465
		15.61565	0.013295165394402	15.61565	1.11666262234086	15.61565	2.0176426591579	15.61565	3.0284212130448	13.5	4.1448919164396
		15.64195	0.0138065179095714	15.64195	1.11532799482326	15.64195	2.01614677284526	15.64195	3.02819262419994	13.52	4.1401689373297
		15.66825	0.0112766686239968	15.66825	1.11694572514762	15.66825	2.01636675612653	15.66825	3.0280402316367	13.54	4.13922434150772
		15.69455	0.0126492464278724	15.69455	1.11698616840573	15.69455	2.01605877953276	15.69455	3.02773544651021	13.56	4.13922434150772
		15.72085	0.0108729692699158	15.72085	1.11650084930842	15.72085	2.01733468256413	15.72085	3.02567814690643	13.58	4.13780744777475
		15.74715	0.0112766686239968	15.74715	1.11682439537329	15.74715	2.01698270931409	15.74715	3.02598293203292	13.6	4.13591825613079
		15.77345	0.0108729692699158	15.77345	1.11662217908275	15.77345	2.01610277618901	15.77345	3.02644010972265	13.62	4.13261217075386
		15.79975	0.0111421021726365	15.79975	1.11532799482326	15.79975	2.01667473272031	15.79975	3.02583053946967	13.64	4.13733514986376
		15.82605	0.0104692699158348	15.82605	1.11722882795438	15.82605	2.01526683972018	15.82605	3.02826882048156	13.66	4.13733514986376
		15.85235	0.00968878449794476	15.85235	1.1177950335679	15.85235	2.01583879625148	15.85235	3.02430661383724	13.68	4.13733514986376
		15.87865	0.0110613623018203	15.87865	1.11540888133948	15.87865	2.01614677284526	15.87865	3.026973483694	13.7	4.13261217075386
		15.90495	0.011357408494813	15.90495	1.11654129256653	15.90495	2.01592678956399	15.90495	3.02430661383724	13.72	4.13166757493188
		15.93125	0.0118687610099824	15.93125	1.11714794143816	15.93125	2.0176426591579	15.93125	3.02552575434319	13.74	4.13355676657584
		15.95755	0.010523096496379	15.95755	1.11561109763003	15.95755	2.0160147828765	15.95755	3.02605912831454	13.76	4.13213987284287
		15.98385	0.0106307496574672	15.98385	1.11577287066246	15.98385	2.01619076950152	15.98385	3.02613532459616	13.78	4.13686285195277
		16.01015	0.00998483069093761	16.01015	1.11553021111381	16.01015	2.01517884640767	16.01015	3.02491618409022	13.8	4.13308446866485
		16.03645	0.0100655705617538	16.03645	1.11577287066246	16.03645	2.01614677284526	16.03645	3.02781164279183	13.82	4.1354459582198
		16.06275	0.0109806224310041	16.06275	1.11553021111381	16.06275	2.0154428263452	16.06275	3.02712587625724	13.84	4.13733514986376
		16.08905	0.0118418477197104	16.08905	1.11455957291919	16.08905	2.01641075278279	16.08905	3.02651630600427	13.86	4.13166757493188
		16.11535	0.0102001370131142	16.11535	1.11536843808137	16.11535	2.01487086981389	16.11535	3.024154221274	13.88	4.13686285195277
		16.14165	0.0107384028185555	16.14165	1.11670306559896	16.14165	2.01517884640767	16.14165	3.0252209692167	13.9	4.1307229791099
		16.16795	0.00966187120767269	16.16795	1.11609641672733	16.16795	2.01491486647015	16.16795	3.02811642791832	13.92	4.13402906448683
		16.19425	0.0103885300450186	16.19425	1.11415514033811	16.19425	2.01385894672005	16.19425	3.024154221274	13.94	4.13261217075386
		16.22055	0.0107653161088276	16.22055	1.11674350885707	16.22055	2.01583879625148	16.22055	3.02392563242914	13.96	4.13450136239782
		16.24685	0.00893521237032688	16.24685	1.11512577853272	16.24685	2.01597078622025	16.24685	3.02316366961292	13.98	4.13261217075386
