H	M	M_over_mass	M_without_diamagnetism	M/Ms
Oe	emu	emu/g	emu/g	-
x=0%, d =8.7% -  after 15 days in soft vacuum	x=0%, d =8.7% -  after 15 days in soft vacuum	x=0%, d =8.7% -  after 15 days in soft vacuum	x=0%, d =8.7% -  after 15 days in soft vacuum	x=0%, d =8.7% -  after 15 days in soft vacuum
950.75291	-2.9096296E-6	-2.85338903040734E-4	8.08099814199858E-5	0.378611272544383
935.69139	-2.2059464E-6	-2.94817323580034E-4	6.48741194903616E-5	0.303948503685307
920.62344	-2.1200776E-6	-2.99468668387837E-4	5.3762335201521E-5	0.251887524139083
905.56154	-2.8369806E-6	-3.0641523006311E-4	4.0355721033965E-5	0.189074797774137
890.49929	-2.7667537E-6	-3.19576930005737E-4	2.07341117542606E-5	0.097143549576619
875.43547	-2.6460966E-6	-3.26242615605278E-4	7.60868999255761E-6	0.0356482670810946
860.3728	-2.2542736E-6	-2.99926516351119E-4	2.74648043498308E-5	0.128678219476736
845.30723	-2.6373205E-6	-2.79515124497992E-4	4.14158181908458E-5	0.194041569533449
830.24548	-1.9837501E-6	-2.51122170969593E-4	6.33488176589297E-5	0.29680215298376
815.17959	-1.8903881E-6	-2.26039979345955E-4	8.19709719022455E-5	0.384050750145742
800.11987	-1.6229231E-6	-2.18662749856569E-4	8.28918027266793E-5	0.388365030685234
785.05457	-1.8106524E-6	-2.21471169822146E-4	7.36216771427154E-5	0.344932598424796
769.99292	-2.1546795E-6	-1.98342777969019E-4	9.02758864107402E-5	0.42296097132364
754.84872	-1.2972176E-6	-1.97032741824441E-4	8.51053208580714E-5	0.398735815355643
739.71053	-1.1665372E-6	-1.77741674698795E-4	9.79161865492445E-5	0.458757338396492
724.64862	-1.8732175E-6	-1.606353178428E-4	1.08548027744329E-4	0.508569686495426
709.58381	-1.23539E-6	-1.85440181296615E-4	7.72823165822885E-5	0.362083442072932
694.51813	-1.3784504E-6	-1.7734870831899E-4	7.891647212852E-5	0.36973979466728
679.46077	-1.6214974E-6	-1.38482591853127E-4	1.11322344956203E-4	0.521567929429927
664.38889	-8.025912E-7	-1.32521937005163E-4	1.10823044722773E-4	0.519228605828571
649.33042	-7.8647452E-7	-1.24249980722892E-4	1.12634947695898E-4	0.527717741431965
634.26603	-1.3091871E-6	-1.31343727251865E-4	9.90807798610846E-5	0.464213695990498
619.20166	-1.2797644E-6	-1.42152979919679E-4	8.18119948383786E-5	0.38330591012229
604.13869	-1.2330522E-6	-1.40562533792312E-4	7.69423570242436E-5	0.36049066208928
589.0763	-7.6623348E-7	-1.36206607802639E-4	7.48386701980384E-5	0.35063445952236
574.01416	-1.2437319E-6	-1.28198989672978E-4	7.63866089375029E-5	0.357886868762792
558.95031	-1.2465555E-6	-1.24607630636833E-4	7.35231286997919E-5	0.344470878836115
543.88529	-7.2205636E-7	-1.16214377165806E-4	7.54494443419435E-5	0.353496061168564
528.81971	-8.7178508E-7	-9.82848988525531E-5	8.69001413367125E-5	0.4071449159824
513.62551	-6.2472966E-7	-8.51711303729203E-5	9.35356653809406E-5	0.438233701776412
498.52349	-7.9059489E-7	-5.77656405565118E-5	1.14451873515925E-4	0.536230410099268
483.45557	-3.3807059E-7	-6.20083985542169E-5	1.03716557604297E-4	0.485933261813298
468.2503	-9.4664633E-8	-8.00407580091796E-5	7.92013831623143E-5	0.371074661068328
453.14864	-1.3488255E-6	-6.50968040619621E-5	8.76622539872956E-5	0.410715569451058
438.07408	-5.2354136E-7	-6.32515437693632E-5	8.30315768692697E-5	0.389019901099322
423.00092	2.3706286E-7	-3.89967082271945E-5	1.00825281251819E-4	0.472387041410155
407.92728	-2.6323746E-7	1.39530787722318E-5	1.47311373980357E-4	0.690183883016841
392.84772	1.4590681E-7	4.74536213425129E-6	1.31638006889284E-4	0.616750956104436
377.77429	1.5823327E-7	5.02871292025244E-6	1.25456194072424E-4	0.58778790010448
362.69461	-1.8756955E-7	1.38895480895009E-5	1.27851275863866E-4	0.59900934761593
347.62468	3.7988428E-7	3.05899847389558E-6	1.105548291026E-4	0.517971960851238
332.54028	-7.1516736E-8	1.24765530579461E-5	1.1350687230445E-4	0.531802886358443
317.46598	1.2220768E-7	4.31946692139988E-5	1.37760368071408E-4	0.645435469049604
302.39743	5.6049902E-7	2.84594782099828E-5	1.16565677999659E-4	0.546134015958762
287.32146	5.6979664E-7	5.04733118301779E-5	1.32107570097861E-4	0.618950955669037
272.24261	-2.5765076E-7	2.63658770510614E-5	1.01516769766193E-4	0.475626806372062
257.03076	6.8388048E-7	3.43663752725186E-5	1.0302975297626E-4	0.482715441815803
241.93631	-2.1526713E-7	2.93807573149742E-5	9.15601043356246E-5	0.428977794669234
226.86485	9.5710767E-7	3.59466400458979E-5	9.16506714927345E-5	0.42940212030329
211.79065	-2.9034415E-7	6.28976982214573E-6	5.55334949365818E-5	0.260185769348244
196.711	2.1720749E-7	4.04108608146873E-5	8.31954050294538E-5	0.389787469500106
181.63762	3.0957604E-7	6.52506452667814E-5	1.01561759431306E-4	0.475837592144567
166.55829	1.4161704E-6	1.11463127194492E-4	1.41291605673383E-4	0.661980038651616
151.35108	1.0712996E-6	1.10065631899025E-4	1.33407924198095E-4	0.625043380292787
136.26157	5.1138158E-7	1.16541597819851E-4	1.33400506554545E-4	0.62500862711732
121.18291	7.6843954E-7	9.84987409064831E-5	1.0888208404608E-4	0.510134808517296
106.10998	1.3398006E-6	1.21227864257028E-4	1.25148458624013E-4	0.586346096657893
91.022691	9.7683316E-7	1.46690128169822E-4	1.44145298538505E-4	0.675350172738141
75.944844	1.3149484E-6	1.34825960068847E-4	1.25815359864761E-4	0.58947066521965
60.881312	1.0283072E-6	1.20476851405622E-4	1.05001227363902E-4	0.491952202096868
45.798587	7.8285692E-7	1.41527690189329E-4	1.19587785139687E-4	0.560293205330487
30.726218	1.2832048E-6	1.27011148881239E-4	9.86057938080464E-5	0.461988289291702
15.644681	1.4431899E-6	1.32463923350545E-4	9.75913118180695E-5	0.457235233908577
0.56656412	5.0077131E-7	1.12687258462421E-4	7.1348287033956E-5	0.334281301308493
-14.514607	1.079005E-6	1.14370692254733E-4	6.65648209382194E-5	0.311869785381182
-29.589995	6.2334774E-7	1.01487591049914E-4	4.72153804738157E-5	0.221213703687815
-44.668629	1.5755616E-6	1.17052402409639E-4	5.63146691868018E-5	0.263845730305511
-59.746099	4.2639127E-7	1.32504425989673E-4	6.53002942765296E-5	0.305945219626607
-74.819911	1.2483273E-6	1.26861917269076E-4	5.31916971214248E-5	0.249213968151678
-89.906751	1.4527929E-6	1.14726372289157E-4	3.45902299181564E-5	0.16206229399871
-104.97465	4.5148138E-7	1.3749038680436E-4	5.08883085071378E-5	0.238422121908242
-120.05517	1.3678987E-6	1.36742407228916E-4	4.36745851520245E-5	0.204624354215807
-135.1315	1.3016712E-6	1.43009717383821E-4	4.34764773125697E-5	0.203696178514254
-150.20754	1.4585789E-6	1.88990490877797E-4	8.29909359989323E-5	0.388829490318805
-165.28583	1.2487328E-6	1.61873893459552E-4	4.94103416621298E-5	0.231497545288694
-180.35636	1.6695135E-6	1.33077779977051E-4	1.41495969671014E-5	0.066293752573237
-195.42433	3.9035379E-7	1.15853653757889E-4	-9.53919599811991E-6	-0.0446930821222196
-210.51003	8.1767097E-7	1.13206467527252E-4	-1.86464906761425E-5	-0.0873626183217421
-225.58246	1.2755321E-6	1.06109706253586E-4	-3.22148448755998E-5	-0.150933129779859
-240.65873	1.0589642E-6	1.26036696213425E-4	-1.87708641119126E-5	-0.087945333277991
-255.85304	8.3754617E-7	1.25255640562249E-4	-2.60372041263713E-5	-0.121989620769115
-270.96541	1.0191434E-6	1.30974519334481E-4	-2.68031559501335E-5	-0.125578261548465
-286.03226	1.4263792E-6	1.57227895065978E-4	-7.02195270858805E-6	-0.0328992830344529
-301.11633	1.4849013E-6	1.65823615949512E-4	-4.8929364395982E-6	-0.0229244068532466
-316.18714	1.4846148E-6	1.85290874354561E-4	8.09534909263853E-6	0.0379283643901057
-331.36772	1.2263275E-6	1.90904803557085E-4	7.22240145783994E-6	0.0338384263766567
-346.48981	2.0092686E-6	1.70871368387837E-4	-1.92953735770717E-5	-0.0904027672802755
-361.57201	1.3160668E-6	1.742437643144E-4	-2.2400946394716E-5	-0.104953010403791
-376.64115	9.1151577E-7	1.72662874297189E-4	-3.04460561298161E-5	-0.142645993139858
-391.72063	1.8774778E-6	1.51840645553643E-4	-5.77314377684254E-5	-0.270483580558213
-406.79526	1.354336E-6	1.91283982845668E-4	-2.47525382966579E-5	-0.115970698897889
-421.86738	1.5424489E-6	2.25391237292025E-4	2.88958093282075E-6	0.0135382770156741
-436.94297	2.4143203E-6	2.28908144578313E-4	-5.81672950866686E-8	-2.72525661140439E-4
-452.01912	2.0022443E-6	2.63131699942628E-4	2.77004305200098E-5	0.12978217622278
-467.09468	1.9697611E-6	2.57071431440046E-4	1.5174482769921E-5	0.0710955519450434
-482.16978	2.2435237E-6	2.17672160068847E-4	-3.06890269027954E-5	-0.143784360850534
-497.24848	1.5527945E-6	2.26819220883534E-4	-2.80036431162971E-5	-0.131202789183141
-512.32086	1.6359159E-6	2.31213024096386E-4	-3.00860470830122E-5	-0.140959277205233
-527.42383	2.492791E-6	2.36494597246127E-4	-3.12889326524719E-5	-0.146595041849348
-542.62621	1.9973883E-6	2.61703006310958E-4	-1.2567138416219E-5	-0.0588796109638671
-557.7023	2.103854E-6	2.66094391279403E-4	-1.4658326847619E-5	-0.0686772559976849
-572.77912	2.255626E-6	2.71603348823867E-4	-1.5621269777793E-5	-0.0731888403561318
-587.852	2.2578954E-6	2.58079228341939E-4	-3.56051356115892E-5	-0.166817334519089
-602.92853	2.4225194E-6	2.75661058519794E-4	-2.44882917773668E-5	-0.114732649969079
-618.00224	1.4467779E-6	2.33442670109007E-4	-7.31716432511947E-5	-0.342824097700471
-633.07983	2.7740249E-6	2.30407709695927E-4	-8.26720709358845E-5	-0.38733554235385
-648.1548	1.0095989E-6	2.4623021686747E-4	-7.33153089735198E-5	-0.343497200960671
-663.23249	2.9544423E-6	3.02955079747562E-4	-2.30555566002064E-5	-0.10801999295429
-678.30859	2.8057328E-6	3.29359546758462E-4	-3.11603672352284E-6	-0.0145992686603469
-693.37825	3.216281E-6	3.82837510613884E-4	4.38966026070653E-5	0.205664551351149
-708.45932	2.9226889E-6	3.51516882960413E-4	6.11004697136284E-6	0.0286268183519407
-723.53697	2.752957E-6	3.42390243832473E-4	-9.48186644434848E-6	-0.0444244814502927
-738.61387	2.6294596E-6	3.15146374641423E-4	-4.31908896401212E-5	-0.202358141922874
-753.68012	2.7007751E-6	3.15258225473322E-4	-4.95434243492602E-5	-0.232121064866878
-768.75834	2.5223366E-6	3.30090254159495E-4	-4.11761138715027E-5	-0.192918505825401
-783.83618	3.0505556E-6	3.53041788296041E-4	-2.46855195444631E-5	-0.115656702351832
-798.91211	3.2159271E-6	3.85955582329317E-4	1.7575239527904E-6	0.00823435878341432
-813.98813	3.3299276E-6	4.04223230636833E-4	1.35436799783847E-5	0.0634549076914146
-829.17042	3.5407383E-6	4.15332163511188E-4	1.81666574366615E-5	0.0851145015641746
-844.29296	3.1550027E-6	3.9520224497992E-4	-8.44736733750704E-6	-0.0395776417851323
-859.36373	3.4826891E-6	3.80923409638554E-4	-2.92032920702696E-5	-0.136823389622455
-874.43805	2.6485456E-6	3.8289082616179E-4	-3.36992953520194E-5	-0.157888083537185
-889.51939	3.4226987E-6	3.90503915662651E-4	-3.25498190484138E-5	-0.152502552215183
-904.59258	3.5178095E-6	3.94531841652324E-4	-3.49877554877321E-5	-0.163924782507199
-919.67051	3.0856175E-6	3.93475134251291E-4	-4.25097767943819E-5	-0.199166989088282
-934.74368	3.1435517E-6	3.39462681583477E-4	-1.02987107979937E-4	-0.482515641295599
-949.81849	2.6592887E-6	3.70618985656913E-4	-7.82950279129191E-5	-0.366828201555271
-964.89403	2.9668224E-6	4.19522895008606E-4	-3.58534701138777E-5	-0.167980832397395
-979.96456	4.957226E-6	4.67730846815835E-4	5.88770948340981E-6	0.0275851217970223
-995.05251	3.8856439E-6	5.18807524956971E-4	5.04899744799169E-5	0.236555845610515
-1010.193	4.1301781E-6	5.13396562248996E-4	3.85866262160713E-5	0.18078622712377
-1025.3482	4.1855951E-6	4.79886212851406E-4	-1.42444666026667E-6	-0.00667382361978591
-1040.5414	3.7172277E-6	4.6777788410786E-4	-2.00286720402392E-5	-0.0938384203941127
-1055.6236	3.9716881E-6	4.39399458405049E-4	-5.48888044514585E-5	-0.257165262714277
-1070.6894	3.1984888E-6	4.48173932874354E-4	-5.25807834113842E-5	-0.246351712609616
-1085.7543	3.8226604E-6	4.44042846242111E-4	-6.3167736930893E-5	-0.295953752777864
-1100.8111	4.2366002E-6	4.5874439242685E-4	-5.49250167189344E-5	-0.257334924585618
-1115.8784	3.2645448E-6	4.61258442914515E-4	-5.88669107205017E-5	-0.275803503317395
-1130.9395	4.123366E-6	4.36344285714286E-4	-9.02441681281439E-5	-0.422812364689587
-1146.0057	3.1212366E-6	4.10468955823293E-4	-1.22594550971558E-4	-0.574380517539253
