Raman schift	Intensity	Normalized Y1	I
cm-1	Counts		a.u
x=15%, d =21%	x=15%, d =21%	x=15%, d =21%	x=15%, d =21%
297.068	240.007	0.0593513551295718	3.55935135512957
299.079	239.479	0.0547381480769566	3.55473814807696
301.087	237.967	0.0415276006081044	3.5415276006081
303.097	236.884	0.0320652838695023	3.5320652838695
305.104	239.688	0.05656420920195	3.55656420920195
307.111	239.623	0.0559962954549425	3.55599629545494
309.117	240	0.0592901951875863	3.55929019518759
311.121	239.82	0.0577175109651038	3.5577175109651
313.127	238.239	0.0439041012109666	3.54390410121097
315.128	243.095	0.0863316266797139	3.58633162667971
317.132	239.897	0.0583902703269435	3.55839027032694
319.135	248.736	0.135617802785398	3.6356178027854
321.132	242.525	0.0813514599751863	3.58135145997519
323.133	245.531	0.107615286490643	3.60761528649064
325.132	243.59	0.0906565082915405	3.59065650829154
327.131	244.219	0.0961521659356597	3.59615216593566
