H	M	M_over_mass	M_without_diamagnetism
Oe	emu	emu/g	emu/g
x=1.0% at 300K	x=1.0% at 300K	x=1.0% at 300K	x=1.0% at 300K
0.8425939	5.2359073E-5	0.00463354628318584	0.00468432459217528
0.83760055	4.9934268E-5	0.00441896176991151	0.00468003177307876
0.83262974	4.6965617E-5	0.0041562492920354	0.00467383282913541
0.82764423	5.1411415E-5	0.00454968274336283	0.00461326423043275
0.82266714	4.9630579E-5	0.00439208663716814	0.00462007111168024
0.81768061	4.6986051E-5	0.00415805761061947	0.00466570624312795
0.8126943	5.0941502E-5	0.00450809752212389	0.00468441027821092
0.80771949	5.1511135E-5	0.00455850752212389	0.00469306912447296
0.80274962	5.1096345E-5	0.00452180044247788	0.00471099293555532
0.79776229	4.7860248E-5	0.00423542017699115	0.00470716859618104
0.79275029	5.0460482E-5	0.00446552938053097	0.00473131669720695
0.78774989	5.2041698E-5	0.00460546	0.00475145128743484
0.7827702	5.2459182E-5	0.00464240548672566	0.0048223357112413
0.7777896	4.9738592E-5	0.00440164530973451	0.0048439622386476
0.77281911	5.3941905E-5	0.00477361991150443	0.00483018427224888
0.76783206	5.1700043E-5	0.00457522504424779	0.0047730985189188
0.76284956	5.0691535E-5	0.00448597654867257	0.00475251151916328
0.75785753	4.7945219E-5	0.00424293973451328	0.00471174434176476
0.7528842	5.2034804E-5	0.00460484991150443	0.00474964933243567
0.74790106	5.1190581E-5	0.00453013991150443	0.00477046619734987
0.74293	5.3705867E-5	0.00475273159292035	0.00480539686230208
0.73794125	4.9175473E-5	0.0043518117699115	0.00477011302020683
0.73296197	5.2045623E-5	0.00460580734513274	0.00468167883442838
0.72798503	4.976177E-5	0.00440369646017699	0.00462000808932233
0.72300699	4.6112717E-5	0.0040807714159292	0.00457078709160133
0.71801875	5.1247024E-5	0.00453513486725664	0.00453700356828286
0.7130442	4.661592E-5	0.00412530265486726	0.00455670832890214
0.70805766	5.0358881E-5	0.00445653814159292	0.00463964612820473
0.70307919	4.9823839E-5	0.0044091892920354	0.00465620374402286
0.69810069	5.2903305E-5	0.00468170840707965	0.00470349308560529
0.69312356	4.9016161E-5	0.00433771336283186	0.00471976509128522
0.68814139	5.0671105E-5	0.0044841685840708	0.00478469604694754
0.68314734	5.2039959E-5	0.00460530610619469	0.00488783534363296
0.67818271	5.5271777E-5	0.00489130769911504	0.00498525424929398
0.67320148	5.7159355E-5	0.00505835	0.00498356469456214
0.66821982	5.2307548E-5	0.00462898654867257	0.00494716152327987
0.66322778	5.0124278E-5	0.00443577681415929	0.00487025031854758
0.6582594	5.3344182E-5	0.00472072407079646	0.0047926743009355
0.65327924	5.2038747E-5	0.00460519884955752	0.00478537706482459
0.64828632	5.0665302E-5	0.00448365504424779	0.0047852528043891
0.64331464	5.1791694E-5	0.00458333575221239	0.00473773387035206
0.63833511	5.1445487E-5	0.00455269796460177	0.00470663142954399
0.63335767	4.9840984E-5	0.00441070654867257	0.00470614844413559
0.62836706	5.0267258E-5	0.00444842991150443	0.00468271904343987
0.62339818	5.1987495E-5	0.00460066327433628	0.00462913624144329
0.61840704	4.965286E-5	0.00439405840707965	0.00463077428530272
0.61341423	4.7100867E-5	0.00416821831858407	0.00464707114790341
0.60840278	5.246241E-5	0.00464269115044248	0.00466081120491063
0.60341866	5.1906954E-5	0.00459353575221239	0.00468597168249041
0.59920312	5.0772033E-5	0.00449310026548673	0.0047253792438214
0.59548084	4.9667675E-5	0.00439536946902655	0.00473552156422859
0.59174263	5.2230245E-5	0.00462214557522124	0.00473816064925094
0.58801161	5.3392362E-5	0.00472498778761062	0.00472833740352347
0.5842405	5.0126417E-5	0.00443596610619469	0.0047440854808899
0.58048931	4.9581205E-5	0.00438771725663717	0.00475994097437192
0.57676839	5.3249872E-5	0.00471237805309734	0.00477867417305786
0.57303047	5.3772825E-5	0.00475865707964602	0.00481927886420868
0.56930053	5.2046357E-5	0.00460587230088496	0.00478113066534686
0.5655671	5.1848175E-5	0.00458833407079646	0.00474252725036304
0.56182182	4.7843603E-5	0.00423394716814159	0.00472987558164066
0.55808932	5.388718E-5	0.00476877699115044	0.00473075370125764
0.5543492	5.2562189E-5	0.00465152115044248	0.00476178880901431
0.55060979	5.0572422E-5	0.00447543557522124	0.00482142537175996
0.54687893	5.3024472E-5	0.00469243115044248	0.00483116640425613
0.54314662	5.3570096E-5	0.00474071646017699	0.0048396053649312
0.53941391	5.3656182E-5	0.00474833469026549	0.00487084888759292
0.53567188	5.1363964E-5	0.00454548353982301	0.00483506841684062
0.53193681	5.4116515E-5	0.00478907212389381	0.00478575173116734
