H	M	M_over_mass	M_without_diamagnetism	M/Ms
Oe	emu	emu/g	emu/g	-
x=15% after 3 months in soft vacuum	x=15% after 3 months in soft vacuum	x=15% after 3 months in soft vacuum	x=15% after 3 months in soft vacuum	x=15% after 3 months in soft vacuum
-99.251632	2.9527268E-7	2.06484391608392E-5	-1.38631700954255E-5	-0.0506426527579299
-124.38875	5.9011929E-8	4.12670832167832E-6	-3.468703373027E-5	-0.115336086532967
-149.51514	1.6412409E-6	1.14772090909091E-4	7.16580521224041E-5	-0.204321392546622
-174.64665	-7.881243E-7	-5.51135874125874E-5	-1.0252879920471E-4	-0.258350660274471
-199.7674	-1.4884565E-6	-1.04087867132867E-4	-1.55802410392788E-4	-0.261529001284985
-224.89567	-7.0443765E-7	-4.92613741258741E-5	-1.0527653587618E-4	-0.395084989731318
-250.02948	3.2869575E-7	2.29857167832168E-5	-3.73310116097525E-5	-0.437080532199302
-275.15303	-1.3437295E-6	-9.39670979020979E-5	-1.58583636973403E-4	-0.449055088329426
-300.28139	-1.4874601E-6	-1.04018188811189E-4	-1.72935361776075E-4	-0.464767781526325
-325.41418	-1.4383378E-6	-1.00583062937063E-4	-1.73801627975059E-4	-0.530836549474715
-350.54274	-7.4763429E-7	-5.22821181818182E-5	-1.2980135134272E-4	-0.531874652549933
-375.66096	-9.7159433E-7	-6.79436594405594E-5	-1.4976179106831E-4	-0.53544064285346
-400.78568	-1.0206413E-6	-7.13735174825175E-5	-1.5749166003015E-4	-0.532165641951329
-425.92088	-1.2274566E-6	-8.58361258741259E-5	-1.76256072958224E-4	-0.556889659492805
-451.05012	-1.0075713E-6	-7.04595314685315E-5	-1.65180263055237E-4	-0.582649676682744
-476.17255	-1.015831E-6	-7.10371328671329E-5	-1.70057483447959E-4	-0.598280071963595
-501.30759	-1.2656058E-6	-8.85039020979021E-5	-1.91826029831735E-4	-0.606670179224346
-526.43044	-1.0617897E-6	-7.4251027972028E-5	-1.81872846581562E-4	-0.619217476919553
-551.55722	-1.0878881E-6	-7.60760909090909E-5	-1.87998273000546E-4	-0.6268479786982
-576.6802	-9.7179658E-7	-6.79578027972028E-5	-1.8417969801342E-4	-0.616731455090218
-601.79739	-8.5733199E-7	-5.9953286013986E-5	-1.80473903416033E-4	-0.625595318820989
-626.92041	-6.6411721E-7	-4.64417629370629E-5	-1.71262100309737E-4	-0.659271553595007
-652.03226	-9.3414311E-7	-6.5324693006993E-5	-1.94442838642543E-4	-0.675946465500142
-677.16656	-1.5796175E-6	-1.10462762237762E-4	-2.43882558377819E-4	-0.689859797567869
-702.28779	-1.0391226E-6	-7.26659160839161E-5	-2.1038512584215E-4	-0.665383840164234
-727.4157	-8.5569118E-7	-5.98385440559441E-5	-2.0185831069178E-4	-0.695470422623577
-752.5292	2.9581794E-7	2.06865692307692E-5	-1.25631288059866E-4	-0.673475048407416
-777.65098	-1.3362373E-6	-9.34431678321678E-5	-2.44060532871621E-4	-0.670159265118705
-802.78223	-6.8158619E-7	-4.76633699300699E-5	-2.02581863476838E-4	-0.729328764811174
-827.93079	-6.0731824E-7	-4.2469806993007E-5	-2.0169239159509E-4	-0.783596077855415
-853.26818	-1.9831374E-6	-1.38680937062937E-4	-3.02239930336692E-4	-0.742640089772102
-878.3933	-7.0922228E-7	-4.95959636363636E-5	-2.17455036288649E-4	-0.744318862763172
-903.51758	3.5801573E-8	2.5036065034965E-6	-1.69655401764158E-4	-0.786964125225548
