H	M	M_over_mass	M_without_diamagnetism	M/Ms
Oe	emu	emu/g	emu/g	-
x=15%, d =21% - short after synthesis	x=15%, d =21% - short after synthesis	x=15%, d =21% - short after synthesis	x=15%, d =21% - short after synthesis	x=15%, d =21% - short after synthesis
-1926.069	4.6345611E-5	0.00383021578512397	-0.00285912629165727	-1.00012939904544
-1976.66	5.6474768E-5	0.00466733619834711	-0.00218639344146844	-1.01171774827872
-1976.3749	5.1326987E-5	0.00424189975206612	-0.00261090349977092	-1.01753304209405
-1926.3225	5.1638908E-5	0.00426767834710744	-0.00242248743838146	-0.998571443300743
-1876.3028	4.9150931E-5	0.00406206041322314	-0.00246557415946689	-0.962475251990562
-1826.2867	4.7959722E-5	0.00396361338842975	-0.00240150166909987	-0.949346867016177
-1776.2685	4.5306598E-5	0.00374434694214876	-0.00245824177659802	-0.960512989074857
-1726.2582	4.4959851E-5	0.00371569016528926	-0.0023243978844924	-0.965506405311298
-1676.2607	4.1353303E-5	0.00341762834710744	-0.00246000062531247	-0.959744822794263
-1626.2613	4.0725222E-5	0.00336572082644628	-0.00234944289485826	-0.959680820164992
-1576.245	3.4624437E-5	0.00286152371900827	-0.00269111983726706	-0.958564928247483
-1526.2395	3.6607023E-5	0.00302537380165289	-0.00236478468250857	-0.965120393819848
-1476.2415	3.5297534E-5	0.00291715157024793	-0.00231054621187978	-0.965338083505757
-1426.2281	3.1047906E-5	0.0025659426446281	-0.00249924439556804	-0.959309658787622
-1376.2321	2.9840188E-5	0.00246613123966942	-0.002436601597181	-0.946488281604307
-1326.2305	2.6848608E-5	0.0022188932231405	-0.00252136721403772	-0.947351924698877
-1276.234	2.5704213E-5	0.00212431512396694	-0.00245348948519355	-0.958611402924654
-1226.2198	2.6415279E-5	0.00218308090909091	-0.0022322103586628	-0.976058074590727
-1176.2126	1.962794E-5	0.00162214380165289	-0.00263065687010213	-0.979473528258896
-1126.212	1.8436466E-5	0.00152367487603306	-0.00256665664539378	-0.970043365664729
-1076.2146	1.675334E-5	0.00138457355371901	-0.00254329921528048	-0.964726678587172
-1026.2058	1.3445498E-5	0.00111119818181818	-0.0026541787922322	-0.968029948386237
-976.20696	1.5482547E-5	0.00127954933884298	-0.00232336420372469	-0.966075002993048
-926.03532	1.4696053E-5	0.00121454983471074	-0.0022253387897285	-0.956629231930254
-875.70068	7.3447259E-6	6.07002140495868E-4	-0.00266933192274061	-0.956758103271124
-825.69704	5.8354666E-6	4.82269966942149E-4	-0.00263158506796034	-0.977688702601834
-775.6986	5.415532E-6	4.47564628099174E-4	-0.00250382827505819	-1.01175029086784
-725.68737	1.1355764E-6	9.38492892561983E-5	-0.00269503992304611	-1.03678559371059
-675.69039	-4.2850985E-7	-3.54140371900826E-5	-0.00266184586178953	-1.03842279413056
-625.68495	-5.6982075E-6	-4.70926239669421E-4	-0.00293487318711565	-1.02363852139667
-575.68725	-5.0904012E-6	-4.20694314049587E-4	-0.00272218153426527	-1.01212523807928
-525.6869	-3.2445895E-6	-2.68147892561983E-4	-0.00240716677478549	-1.01027864452185
-475.68783	-6.7015572E-6	-5.53847702479339E-4	-0.002530402405871	-1.01128198048666
-425.68882	-1.0398489E-5	-8.59379256198347E-4	-0.0026734699757188	-1.00494114934317
-375.68322	-1.1304618E-5	-9.34265950413223E-4	-0.00258587127288541	-0.999372749101783
-325.67505	-1.6242134E-5	-0.00134232512396694	-0.00283143669857676	-0.996015865381864
-275.68309	-1.6674687E-5	-0.00137807330578512	-0.00270474380439903	-0.984877403930225
-225.66742	-1.4252236E-5	-0.00117787074380165	-0.00234202312447308	-0.949928268090029
-175.67154	-1.6170552E-5	-0.00133640925619835	-0.00233810782344533	-0.894242385215093
-125.67194	-1.6630835E-5	-0.00137444917355372	-0.00221368183981653	-0.832082201389633
-75.671407	-1.5867607E-5	-0.00131137247933884	-0.00198813621297951	-0.758024961184042
-25.658739	-1.6456697E-5	-0.00136005760330579	-0.0018743129735347	-0.655169947114616
24.34082	-1.3433296E-5	-0.00111018975206612	-0.00146197935453396	-0.522040411591912
74.35599	-1.2130312E-5	-0.00100250512396694	-0.00119177823316431	-0.380587817658307
124.35166	-1.0716743E-5	-8.85681239669422E-4	-9.12501217804594E-4	-0.252643207326589
174.34398	2.8973557E-7	2.39450884297521E-5	1.59567356054328E-4	-0.124226829151021
224.36332	-2.6308518E-6	-2.17425768595041E-4	8.07265420645525E-5	-0.00967583358887172
274.35798	-7.8430686E-6	-6.48187487603306E-4	-1.87585327718969E-4	0.104721031353992
324.36447	-3.8568853E-6	-3.18750851239669E-4	3.043395976091E-4	0.212165837209113
374.37085	-3.0498391E-6	-2.52052818181818E-4	5.33525562203543E-4	0.294328869869794
424.36342	2.260479E-6	1.86816446280992E-4	0.0011348378847621	0.352487875843169
474.36612	-2.6096887E-6	-2.15676752066116E-4	8.94820660365616E-4	0.409758379597194
524.3682	3.810819E-6	3.14943719008264E-4	0.00158791509079733	0.488282517375386
574.37121	-4.9631983E-6	-4.1018167768595E-4	0.00102526667535037	0.540077194737511
624.36412	-7.9467205E-6	-6.56753760330578E-4	9.41138755578463E-4	0.5841652960032
674.36072	-1.2676475E-6	-1.04764256198347E-4	0.00165558441266282	0.640208497946634
724.37381	-2.6355884E-6	-2.17817223140496E-4	0.0017050411803556	0.690086845639784
774.37663	7.9855762E-7	6.59964975206612E-5	0.00215133126488866	0.723880120852403
824.37331	-1.0023129E-5	-8.28357768595041E-4	0.00141943341167261	0.749573812159634
874.36826	-6.6553159E-7	-5.50026107438016E-5	0.00235523936105836	0.759736500869031
924.36389	-1.3024243E-5	-0.00107638371900826	0.00149631125388233	0.727069004581942
974.36229	-1.8276973E-5	-0.00151049363636364	0.00122466333829831	0.683826988442534
1024.3747	-1.1736214E-5	-9.69935041322314E-4	0.00192772945842064	0.667016712648969
1074.3694	-1.7144565E-5	-0.00141690619834711	0.00164320828059434	0.643060954063746
1124.3599	-2.3771319E-5	-0.00196457181818182	0.00125797899271327	0.637682829095616
1174.3722	-2.1877137E-5	-0.00180802785123967	0.00157703012730858	0.66488007193163
1224.3794	-2.2065812E-5	-0.00182362082644628	0.00172392774810065	0.693056316826495
1274.3751	-2.691134E-5	-0.00222407768595041	0.00148592411713904	0.700980384780397
1324.3613	-2.5455926E-5	-0.00210379553719008	0.00176862862567375	0.720452114571269
1374.3768	-2.3280828E-5	-0.00192403537190083	0.00211090635651701	0.778185038071888
1424.3693	-2.6968865E-5	-0.00222883181818182	0.00196855274087769	0.842130640524032
1474.3678	-3.4444929E-5	-0.00284668834710744	0.00151315853865783	0.909295085179334
1524.3696	-2.3914214E-5	-0.00197638132231405	0.00254593861299222	0.956194225932557
1574.3732	-2.6462803E-5	-0.00218700851239669	0.00249779032126981	0.968268265326611
1624.3613	-2.5588207E-5	-0.00211472785123967	0.00273249951595484	0.947040106216901
1674.3677	-3.5053148E-5	-0.00289695438016529	0.00211276098355269	0.921306256607715
1724.3641	-4.0250982E-5	-0.00332652743801653	0.00184564342878478	0.870048544682476
1774.357	-4.266871E-5	-0.00352633966942149	0.0018082753277591	0.858921004475771
1824.3681	-4.6704931E-5	-0.00385991165289256	0.00163720661272836	0.85004995320595
1874.3686	-4.7040963E-5	-0.00388768289256198	0.00177190419845273	0.843435390873005
1924.3647	-4.2543081E-5	-0.00351595710743802	0.00230608451185682	0.839077317476935
1974.3563	-4.7336292E-5	-0.00391209024793388	0.00207239127759301	0.836975733017752
