DC_Applied_Bias	Amplitude	Phase
V	a.u.	deg
May 2023	May 2023	May 2023
-1.66	751.482	42.5095
-1.64	740.124	42.0715
-1.62	740.748	42.5516
-1.6	731.012	42.4545
-1.58	713.609	41.782
-1.56	709.223	42.6923
-1.54	703.446	42.448
-1.52	692.462	42.1917
-1.5	687.291	42.285
-1.48	678.09	42.0738
-1.46	672.866	42.2615
-1.44	678.268	42.0911
-1.42	669.852	42.6088
-1.4	656.604	42.1756
-1.38	655.837	42.6297
-1.36	646.761	42.1495
-1.34	637.454	42.4384
-1.32	627.807	42.2174
-1.3	629.091	42.112
-1.28	618.464	42.3158
-1.26	610.422	42.1522
-1.24	606.998	41.7381
-1.22	596.835	42.1844
-1.2	595.105	42.0155
-1.18	581.732	41.805
-1.16	581.197	41.7788
-1.14	572.656	41.7536
-1.12	567.218	42.0128
-1.1	558.481	41.8743
-1.08	550.831	41.9342
-1.06	547.425	41.7159
-1.04	537.957	41.8397
-1.02	522.855	41.4955
-1	519.199	41.4732
-0.98	521.375	41.5081
-0.96	510.747	41.0304
-0.94	511.354	41.7597
-0.92	496.322	41.2062
-0.9	489.154	40.9118
-0.88	479.508	41.5776
-0.86	471.769	41.4746
-0.84	470.931	41.4758
-0.82	463.032	41.2736
-0.8	458.592	41.5229
-0.78	451.585	41.4075
-0.76	446.289	40.8782
-0.74	431.311	41.0722
-0.72	430.188	41.7413
-0.7	422.003	40.8609
-0.68	415.245	41.4537
-0.66	410.146	41.1102
-0.64	399.197	41.0428
-0.62	395.203	41.6445
-0.6	385.539	41.5556
-0.58	380.707	40.0178
-0.56	372.344	40.4051
-0.54	372.469	41.1732
-0.52	365.372	41.1414
-0.5	353.443	40.7011
-0.48	347.791	40.3809
-0.46	340.463	41.0247
-0.44	330.388	40.7917
-0.42	328.088	40.9689
-0.4	319.333	41.128
-0.38	310.988	39.8739
-0.36	305.193	40.5177
-0.34	294.619	39.9962
-0.32	282.851	40.2415
-0.3	282.798	40.6015
-0.28	271.154	39.9018
-0.26	270.138	40.415
-0.24	262.827	40.0589
-0.22	255.249	41.2682
-0.2	249.133	40.8078
-0.18	244.033	41.419
-0.16	240.414	41.4379
-0.14	233.584	40.9834
-0.12	221.852	41.3742
-0.1	215.236	41.4112
-0.08	213.578	41.9082
-0.06	202.452	40.953
-0.0399999	194.196	42.3238
-0.02	191.29	41.6144
0	--	0
0	--	0
0	--	0
0	--	0
0	--	0
