DC_Applied_Bias	Amplitude	Phase
V	a.u.	deg
Nov. 2022	Nov. 2022	Nov. 2022
-1.2	2274.35	27.6312
-1.184	2173.75	24.3782
-1.168	2243.19	27.0187
-1.152	2285.86	23.552
-1.136	2227.97	23.8095
-1.12	1962.04	17.6886
-1.104	2088.05	17.9185
-1.088	1985.27	17.9442
-1.072	2007.51	18.5272
-1.056	1972.09	17.3556
-1.04	2030.76	17.6775
-1.024	2092.41	18.3496
-1.008	2187.81	19.277
-0.992	2186.68	18.8409
-0.976	2049.44	18.8574
-0.96	1817.58	15.6233
-0.944	2106.75	17.9738
-0.928	2101.41	16.3958
-0.912	1917.65	15.3325
-0.896	1996.33	15.6337
-0.88	1925.21	14.8459
-0.864	1874	14.7762
-0.848	1909.27	14.9787
-0.832	1806.04	14.6077
-0.816	1638.02	14.2429
-0.8	1426.17	13.3374
-0.784	1553.12	13.7351
-0.768	1368.2	13.1851
-0.752	1377.2	13.1284
-0.736	1335.12	13.5331
-0.72	1362.57	13.7742
-0.704	1219.66	13.5608
-0.688	1050.63	13.25
-0.672	1001.66	13.2407
-0.656	933.38	12.8992
-0.64	923.423	12.8349
-0.624	882.227	13.2433
-0.608	894.087	13.0249
-0.592	810.403	12.131
-0.576	811.419	12.0661
-0.56	809.369	12.3917
-0.544	746.43	12.3515
-0.528	715.377	12.1013
-0.512	673.646	12.7219
-0.496	667.734	12.7327
-0.48	642.149	12.3971
-0.464	593.971	12.4391
-0.448	592.271	12.2799
-0.432	564.894	12.1185
-0.416	545.7	12.3525
-0.4	520.096	12.3896
-0.384	526.617	12.6815
-0.368	540.527	12.3799
-0.352	511.469	12.41
-0.336	521.445	12.8888
-0.32	524.991	13.1506
-0.304	513.483	12.3942
-0.288	493.328	12.9787
-0.272	468.556	12.7678
-0.256	487.472	12.7483
-0.24	473.266	12.4162
-0.224	444.042	12.5893
-0.208	450.581	12.8259
-0.192	421.966	12.7986
-0.176	404.767	12.857
-0.16	381.879	12.1132
-0.144	399.521	12.0981
-0.128	396.196	12.1775
-0.112	394.626	12.6292
-0.096	380.623	13.1463
-0.08	377.002	12.7126
-0.064	370.112	12.3293
-0.048	386.793	12.4528
-0.0319999	372.532	12.6911
-0.016	370.943	12.0259
0	377.593	12.6628
